"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","bas_val","ext_xmin","ext_xmax","ext_ymin","ext_ymax","HRT_sec","T_AIR","HRT","Wind","basin_id"
1242,"Neusiedl","Hungary","Europe","SWBD",1,0,141.51,156.08,3.7,301.67,0,3,2.1,5.237,666.7,110,0.46,1142.6,16.801183,47.671437,1,16.6869821506084,16.8555528428827,47.6631944444446,47.9305528428821,8640432000,8.80764102935791,8640432000,4.32688760757446,"danube"
1244,"Lake Tisza","Hungary","Europe","GRanD",2,3814,119,80.23,2.07,228.6,228.6,2,1.9,558.066,4.7,83,0.34,65561.4,20.519179,47.497917,1,20.5165958404542,20.8055114746094,47.4768676757812,47.6960411071779,60912000,9.56463623046875,60912000,3.78622055053711,"danube"
1251,"Balaton","Hungary","Europe","SWBD",1,0,577.21,203.94,2.39,1900,0,1,3.3,21.474,1024.1,100,-1,5746.8,18.044567,46.911659,1,17.2451142035598,18.1675632052958,46.7054166666667,47.0583306206598,13272336000,8.80764102935791,13272336000,4.32688760757446,"danube"
1284,"Yalpug","Ukraine","Europe","SWBD",1,0,225.08,147.88,2.78,3043.44,0,3,13.5,10.14,3473.9,-1,2.09,4210.8,28.70618,45.335383,1,28.5825027126737,28.7468017578125,45.2543055555554,45.6761531575519,45021744000,10.5195283889771,45021744000,4.14860963821411,"danube"
1293,NA,"Republic of Serbia","Europe","GRanD",2,3880,118.58,205.37,5.32,2550,2550,2,21.5,5506.185,5.4,64,17.57,560682.4,22.530866,44.673332,1,21.7340479664066,22.5340871263868,44.4405926534831,44.7420490866339,69984000,8.57011222839355,69984000,3.34527611732483,"danube"
13841,NA,"Slovakia","Europe","SWBD",2,3781,28.25,49.88,2.65,346,346,2,12.2,17.908,223.6,596,4.29,1143.2,19.556417,49.377899,1,19.4727804904522,19.6383474392371,49.3762500000003,49.4540559895836,2897856000,7.50629711151123,2897856000,NA,"danube"
13869,NA,"Slovakia","Europe","SWBD",2,3790,18.26,34.5,2.28,360.5,360.5,2,19.7,26.093,159.9,555,5.22,1478.5,19.485692,49.099514,1,19.4800054253482,19.5853032769106,49.0784722222224,49.13332804362,2072304000,7.50629711151123,2072304000,NA,"danube"
13879,NA,"Slovakia","Europe","SWBD",2,3792,10.99,31.13,2.65,180,180,2,16.4,5.332,390.7,155,9.69,840.4,21.697799,49.002817,1,21.6398451063366,21.7122888183593,49.0009722222228,49.1008305528435,5063472000,7.15109920501709,5063472000,NA,"danube"
13891,NA,"Czech Republic","Europe","SWBD",2,3794,22.75,40.72,2.41,134,134,2,5.9,47.846,32.4,164,1.67,11869.8,16.722014,48.860926,1,16.5855524359815,16.7272195095492,48.8559722222225,48.9144416639543,419904000,7.61816740036011,419904000,NA,"danube"
13902,NA,"Slovakia","Europe","SWBD",2,3796,28.99,30.49,1.6,334,334,2,11.5,1.194,3237.6,109,2.33,186.1,22.047869,48.785472,1,21.9480413140189,22.0825248209634,48.7640277777784,48.8158280436203,41959296000,7.15109920501709,41959296000,NA,"danube"
13954,NA,"Slovakia","Europe","SWBD",2,3805,11.34,30.95,2.59,50.8,50.8,2,4.5,140.954,4.2,117,0.7,10410.8,17.827073,48.193783,1,17.7476391601569,17.8316639539938,48.1909722222225,48.27668999566,54432000,8.80764102935791,54432000,4.32688760757446,"danube"
13962,NA,"Germany","Europe","SWBD",1,0,44.98,41.35,1.74,700.77,0,3,15.6,20.853,388.9,531,3.82,996.6,11.130208,48.075764,1,11.0960578748916,11.1702914767797,47.9387500000005,48.0766639539936,5040144000,5.30389070510864,5040144000,3.56285953521729,"danube"
13965,NA,"Hungary","Europe","SWBD",2,3806,33.84,76.9,3.73,160,160,2,4.7,2093.565,0.9,123,0.91,131205.7,17.269792,47.999069,1,17.1700651041674,17.5391639539938,47.8795833333336,48.0663861762155,11664000,8.80764102935791,11664000,4.32688760757446,"danube"
13966,"Starnberger See","Germany","Europe","SWBD",1,0,54.77,48.79,1.86,1237.99,0,3,22.6,6.222,2302.9,583,5.07,306.3,11.354819,47.996766,1,11.2705582682294,11.3587891981339,47.8206944444449,47.9977750651047,29845584000,5.57431936264038,29845584000,3.63913702964783,"danube"
13969,NA,"Austria","Europe","SWBD",1,0,44.14,48.95,2.08,1654.69,0,3,37.5,13.134,1458.2,467,8.23,467.9,13.592307,47.948292,1,13.4841693793407,13.594657931858,47.7895833333338,47.9502022298182,18898272000,5.57431936264038,18898272000,3.63913702964783,"danube"
13970,"Chiemsee","Germany","Europe","SWBD",1,0,75.05,70.38,2.29,575.51,0,3,7.7,41.164,161.8,515,1.85,1440,12.485403,47.930723,1,12.3475995551218,12.5338834635419,47.8295833333338,47.9326767306862,2096928000,5.57431936264038,2096928000,3.63913702964783,"danube"
13971,"Traunsee","Austria","Europe","SWBD",3,3283,23.39,33.53,1.96,1928.17,514,3,82.5,44.847,497.6,420,14.27,1395.9,13.800281,47.916841,1,13.7665893554691,13.8161032443581,47.8088967556429,47.917492133247,6448896000,6.98797655105591,6448896000,4.16627597808838,"danube"
13974,NA,"Romania","Europe","SWBD",2,3809,41.31,76.55,3.36,1290,1290,2,31.2,139.84,106.8,82,3.34,12168.3,27.226042,47.841332,1,27.1291719563801,27.2772169325086,47.8343055555555,47.999217936198,1384128000,7.73811292648315,1384128000,3.95316505432129,"danube"
13976,NA,"Austria","Europe","SWBD",1,0,13.06,25.77,2.01,461.14,0,3,35.3,6.68,799,479,10.12,254.3,13.447312,47.80361,1,13.3419628906253,13.4478043619796,47.7970833333338,47.8522169325092,10355040000,5.57431936264038,10355040000,3.63913702964783,"danube"
13983,NA,"Austria","Europe","SWBD",1,0,11.79,27.03,2.22,346.01,0,3,29.4,3.754,1066.8,534,8.81,131,13.484443,47.722071,1,13.3686962890628,13.4855528428824,47.716805555556,47.7737462022574,13825728000,5.57431936264038,13825728000,3.63913702964783,"danube"
13985,NA,"Germany","Europe","SWBD",2,3287,12.29,29.79,2.4,165,165,2,13.4,42.607,44.8,773,4.07,1577.5,10.742707,47.653187,1,10.7127150472007,10.7674947102866,47.579305555556,47.6550442165803,580608000,5.30389070510864,580608000,3.56285953521729,"danube"
13992,NA,"Germany","Europe","SWBD",1,0,15.7,27.14,1.93,793.66,0,3,50.5,1.774,5178,798,13.28,74.4,11.392222,47.584668,1,11.306457248264,11.3932109917537,47.5690277777783,47.6177750651047,67106880000,5.57431936264038,67106880000,3.63913702964783,"danube"
14015,NA,"Hungary","Europe","SWBD",1,0,11.49,54.5,4.54,13.73,0,3,1.2,0.535,297,100,0.55,206.9,18.573593,47.188907,1,18.57193060981,18.6623413085946,47.1855582682293,47.2386083984376,3849120000,8.80764102935791,3849120000,4.32688760757446,"danube"
14030,NA,"Romania","Europe","SWBD",2,3824,19.84,57.01,3.61,1230,1230,2,62,47.731,298.3,483,13.26,4060.2,26.107292,46.940563,1,25.9588527425128,26.1233305528427,46.9381944444445,47.0588861762153,3865968000,7.28820753097534,3865968000,3.43608164787292,"danube"
14047,NA,"Austria","Europe","SWBD",1,0,12.6,25.03,1.99,667.16,0,3,53,6.377,1210.9,588,14.49,286.1,13.516185,46.813158,1,13.5147086588545,13.6458306206602,46.7637500000005,46.8155683051219,15693264000,5.57431936264038,15693264000,3.63913702964783,"danube"
14058,NA,"Austria","Europe","SWBD",1,0,10.04,24.79,2.21,173.06,0,3,17.2,7.862,254.8,499,5.74,396.4,13.895101,46.653559,1,13.894025336372,14.0194390190975,46.6504166666671,46.6949064127609,3302208000,6.98797655105591,3302208000,4.16627597808838,"danube"
14059,NA,"Hungary","Europe","SWBD",1,0,15.75,40.5,2.88,33.04,0,3,2.1,7.629,50.1,104,0.84,1893,17.171459,46.63455,1,17.1191544596361,17.1738159179694,46.585377061632,46.6722195095487,649296000,8.80764102935791,649296000,4.32688760757446,"danube"
14061,NA,"Austria","Europe","SWBD",1,0,18.56,44.78,2.93,457.55,0,3,24.7,3.515,1506.6,437,6.87,170.6,14.250904,46.616273,1,14.043891601563,14.2541701931428,46.6063916015629,46.6366639539936,19525536000,6.98797655105591,19525536000,4.16627597808838,"danube"
14090,NA,"Romania","Europe","SWBD",2,3839,11.82,28.76,2.36,103.7,103.7,2,8.8,166.296,7.2,122,4.5,19929,27.047959,46.33599,1,26.9758360460069,27.0541555447047,46.334276529948,46.4062285698784,93312000,7.73811292648315,93312000,3.95316505432129,"danube"
14091,NA,"Croatia","Europe","SWBD",2,3841,16.4,29.07,2.03,93.5,93.5,2,5.7,264.008,4.1,148,0.71,15844.1,16.721805,46.323945,1,16.5730582682297,16.7247250705302,46.30625,46.3295421006944,53136000,8.80764102935791,53136000,4.32688760757446,"danube"
14108,NA,"Romania","Europe","SWBD",2,3843,17.97,42.41,2.82,120,120,2,6.7,167.636,8.3,108,3.7,20290.1,27.185498,46.186705,1,27.0609567599826,27.1957621256509,46.1856944444444,46.2988861762151,107568000,10.5195283889771,107568000,4.0508873462677,"danube"
14171,NA,"Moldova","Europe","SWBD",1,0,24.12,49.19,2.83,75.68,0,3,3.1,235.052,3.7,3,1.09,27310.9,28.152446,45.768743,1,28.1244376627604,28.1876182725694,45.7640277777777,45.8514493815103,47952000,10.5195283889771,47952000,4.14860963821411,"danube"
14203,NA,"Ukraine","Europe","SWBD",1,0,51.52,71.99,2.83,382.68,0,3,7.4,2.591,1709.4,-1,1.95,1518.8,29.151912,45.485825,1,29.1201158311632,29.2297309027778,45.4834722222221,45.6958827039929,22153824000,12.4668197631836,22153824000,NA,"danube"
14209,NA,"Ukraine","Europe","SWBD",1,0,59.54,79.84,2.92,297.98,0,3,5,2.706,1274.5,-1,1.34,1275.9,28.985939,45.399743,1,28.9461943901911,29.0688319227432,45.3993055555554,45.5865752495658,16517520000,12.4668197631836,16517520000,NA,"danube"
14213,NA,"Romania","Europe","SWBD",1,0,11.78,15.93,1.31,39.89,0,3,3.4,0.276,1673,-1,1.35,101.9,28.114583,45.360417,1,28.1052647569445,28.1484038628471,45.3143055555554,45.3669417317707,21682080000,10.5195283889771,21682080000,4.14860963821411,"danube"
