"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","HRT","T_AIR","HRT_sec","Wind","basin_id","Pour_long","Pour_lat"
171739,NA,"France","Europe","SWBD",1,0,3.3,8.18,1.27,12.06,0,3,3.7,2.663,52.4,0,1.5,94.7,4527360,10.8021478652954,4527360,7,"204549",-1.401042,43.59062
1362728,NA,"France","Europe","SWBD",1,0,0.49,2.85,1.15,1.35,0,3,2.8,3.126,5,0,1.14,110.7,432000,10.8021478652954,432000,7,"204549",-1.405846,43.581291
1363251,NA,"Spain","Europe","SWBD",1,0,0.97,17.21,4.93,10.93,0,3,11.3,30.391,4.2,215,16.96,1208.3,362880,12.6120357513428,362880,7,"205719",-6.305644,43.318187
1363379,NA,"Spain","Europe","SWBD",1,0,0.27,3.15,1.7,2.36,0,3,8.6,9.079,3,373,14.47,330.2,259200,11.0927495956421,259200,7,"205719",-5.471542,43.226837
1363388,NA,"Spain","Europe","SWBD",2,2654,0.73,11.5,3.79,33.3,33.3,2,45.4,7.217,53.4,485,17.03,265.5,4613760,11.0927495956421,4613760,7,"205719",-5.423058,43.217602
171783,NA,"Spain","Europe","SWBD",2,2648,1,17.13,4.84,32.8,32.8,2,32.8,56.878,6.7,38,16.22,2505.6,578880,12.6120357513428,578880,7,"205934",-6.721875,43.476871
171824,NA,"Spain","Europe","SWBD",2,2651,1.74,28.31,6.05,114.7,114.7,2,65.9,51.257,25.9,111,19.72,2291.6,2237760,12.6120357513428,2237760,7,"205934",-6.827365,43.385655
171887,NA,"Spain","Europe","SWBD",2,2653,2.96,38.51,6.31,265.6,265.6,2,89.7,38.065,80.8,207,19.75,1769.9,6981120,12.6120357513428,6981120,7,"205934",-6.849185,43.234752
171750,NA,"France","Europe","SWBD",1,0,1.74,9.77,2.09,2.08,0,3,1.2,15.452,1.6,-1,0.5,915.7,138240,14.9195804595947,138240,7,"206006",4.102528,43.55773
14340,NA,"France","Europe","SWBD",1,0,30.45,42.28,2.16,30.45,0,3,1,5,70.5,-1,0.28,314.7,6091200,14.9195804595947,6091200,7,"206278",3.98125,43.55265
1362742,NA,"France","Europe","SWBD",1,0,0.31,2.37,1.19,0.33,0,3,1,0.236,16.1,-1,0.18,14.8,1391040,14.9195804595947,1391040,7,"206278",3.972917,43.572943
171734,NA,"France","Europe","SWBD",2,3454,2.68,22.2,3.83,60,60,2,22.4,2.59,268.1,145,6.15,137.4,23163840,15.6834716796875,23163840,7,"206350",6.82978,43.599264
171576,NA,"France","Europe","SWBD",1,0,1.71,6.27,1.35,7.02,0,3,4.1,2.185,37.2,62,2.16,116.1,3214080,12.2078342437744,3214080,7,"206520",-0.856397,44.015749
171709,NA,"France","Europe","SWBD",1,0,1.07,5.29,1.44,1.69,0,3,1.6,136.47,0.1,3,0.82,7828.1,8640,11.7142372131348,8640,7,"206520",-1.137803,43.664404
